Date,Open,High,Low,Fear Greed
2011/1/3,,,,68
2011/1/4,,,,68
2011/1/5,,,,67
2011/1/6,,,,64
2011/1/7,,,,63
2011/1/10,,,,58
2011/1/11,,,,58
2011/1/12,,,,58
2011/1/13,,,,58
2011/1/14,,,,60
2011/1/18,,,,56
2011/1/19,,,,55
2011/1/20,,,,54
2011/1/21,,,,47
2011/1/24,,,,45
2011/1/25,,,,43
2011/1/26,,,,43
2011/1/27,,,,43
2011/1/28,,,,43
2011/1/31,,,,41
2011/2/1,,,,41
2011/2/2,,,,46
2011/2/3,,,,47
2011/2/4,,,,49
2011/2/7,,,,56
2011/2/8,,,,56
2011/2/9,,,,56
2011/2/10,,,,56
2011/2/11,,,,56
2011/2/14,,,,61
2011/2/15,,,,61
2011/2/16,,,,61
2011/2/17,,,,61
2011/2/18,,,,56
2011/2/22,,,,42
2011/2/23,,,,42
2011/2/24,,,,42
2011/2/25,,,,42
2011/2/28,,,,43
2011/3/1,,,,43
2011/3/2,,,,42
2011/3/3,,,,41
2011/3/4,,,,39
2011/3/7,,,,35
2011/3/8,,,,27
2011/3/9,,,,26
2011/3/10,,,,26
2011/3/11,,,,26
2011/3/14,,,,13
2011/3/15,,,,13
2011/3/16,,,,11
2011/3/17,,,,9
2011/3/18,,,,9
2011/3/21,,,,14
2011/3/22,,,,15
2011/3/23,,,,16
2011/3/24,,,,16
2011/3/25,,,,19
2011/3/28,,,,23
2011/3/29,,,,23
2011/3/30,,,,24
2011/3/31,,,,24
2011/4/1,,,,27
2011/4/4,,,,31
2011/4/5,,,,35
2011/4/6,,,,37
2011/4/7,,,,37
2011/4/8,,,,37
2011/4/11,,,,34
2011/4/12,,,,33
2011/4/13,,,,33
2011/4/14,,,,30
2011/4/15,,,,28
2011/4/18,,,,24
2011/4/19,,,,24
2011/4/20,,,,25
2011/4/21,,,,30
2011/4/25,,,,35
2011/4/26,,,,36
2011/4/27,,,,37
2011/4/28,,,,37
2011/4/29,,,,41
2011/5/2,,,,36
2011/5/3,,,,31
2011/5/4,,,,30
2011/5/5,,,,29
2011/5/6,,,,27
2011/5/9,,,,28
2011/5/10,,,,31
2011/5/11,,,,31
2011/5/12,,,,32
2011/5/13,,,,32
2011/5/16,,,,27
2011/5/17,,,,27
2011/5/18,,,,25
2011/5/19,,,,23
2011/5/20,,,,22
2011/5/23,,,,16
2011/5/24,,,,13
2011/5/25,,,,13
2011/5/26,,,,15
2011/5/27,,,,16
2011/5/31,,,,16
2011/6/1,,,,15
2011/6/2,,,,12
2011/6/3,,,,9
2011/6/6,,,,6
2011/6/7,,,,6
2011/6/8,,,,6
2011/6/9,,,,6
2011/6/10,,,,5
2011/6/13,,,,6
2011/6/14,,,,5
2011/6/15,,,,5
2011/6/16,,,,6
2011/6/17,,,,7
2011/6/20,,,,9
2011/6/21,,,,9
2011/6/22,,,,10
2011/6/23,,,,10
2011/6/24,,,,11
2011/6/27,,,,25
2011/6/28,,,,29
2011/6/29,,,,30
2011/6/30,,,,32
2011/7/1,,,,34
2011/7/5,,,,51
2011/7/6,,,,52
2011/7/7,,,,48
2011/7/8,,,,43
2011/7/11,,,,35
2011/7/12,,,,31
2011/7/13,,,,31
